date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:13:07	436/436	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2018%20Dec%202016%2013:13:07%20GMT	https://www.amazon.de/gp/BIT/InternetBasedAds/ref=gw_cookie_uk/253-8936271-2197550?pf_rd_m=A3JWKAKR8XB7XF&pf_rd_s=&pf_rd_r=E6K5N87AWKR7X9082BH6&pf_rd_t=36701&pf_rd_p=20d68cb1-085e-478a-a17e-746e922f36b2&pf_rd_i=desktop	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/gp/BIT/InternetBasedAds/ref=gw_cookie_uk/253-8936271-2197550a50a	(from https://www.amazon.de/)
14:13:08	664408/664408	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Dec%202016%2013:13:07%20GMT	https://www.amazon.de/gp/angebote?pf_rd_r=E6K5N87AWKR7X9082BH6&pf_rd_p=bc32a8a5-5db5-495a-94ee-3bc352f94d2c	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/gp/angebote74fa.html	(from https://www.amazon.de/)
14:13:08	266460/266460	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Dec%202016%2013:13:07%20GMT	https://www.amazon.de/gp/b/ref=nav_shopall_nav_sap_gchw16?ie=UTF8&node=3024257031&pf_rd_p=8d1720fe-a2ff-457e-b4bb-5b70b0afecc3&pf_rd_s=nav-sa-sports-outdoors&pf_rd_t=4201&pf_rd_i=navbar-4201&pf_rd_m=A1PA6795UKMFR9&pf_rd_r=GHB7NFN7WFMETJP4NHNB	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/gp/b/ref=nav_shopall_nav_sap_gchw168b97.html	(from https://www.amazon.de/)
14:13:08	45773/45773	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Dec%202016%2013:13:08%20GMT	https://www.amazon.de/ap/register?openid.return_to=https%3A%2F%2Fwww.amazon.de%2Fref%3Dgw_sgn_ib%2F253-8936271-2197550&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=deflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/ap/register0a5f.html	(from https://www.amazon.de/)
14:13:08	195229/195229	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Dec%202016%2013:13:08%20GMT	https://www.amazon.de/gp/help/customer/display.html?nodeId=201151440&pf_rd_m=A3JWKAKR8XB7XF&pf_rd_s=&pf_rd_r=E6K5N87AWKR7X9082BH6&pf_rd_t=36701&pf_rd_p=20d68cb1-085e-478a-a17e-746e922f36b2&pf_rd_i=desktop	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/gp/help/customer/display7844.html	(from https://www.amazon.de/)
14:13:08	1/1	---MCZ	302	error ('MovedTemporarily')	text/html	date:Sun,%2018%20Dec%202016%2013:13:08%20GMT	https://www.amazon.de/gp/prime/ref=br_pdt_mgUpt/253-8936271-2197550?pf_rd_m=A3JWKAKR8XB7XF&pf_rd_s=&pf_rd_r=E6K5N87AWKR7X9082BH6&pf_rd_t=36701&pf_rd_p=8fd50deb-8430-4ac0-89fe-b5ea36899997&pf_rd_i=desktop	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/gp/prime/ref=br_pdt_mgUpt/253-8936271-2197550a979	(from https://www.amazon.de/)
14:13:09	192423/192423	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Dec%202016%2013:13:08%20GMT	https://www.amazon.de/gp/prime/pipeline/landing?ie=UTF8&ref_=br_pdt_mgUpt	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/gp/prime/pipeline/landing569f.html	(from https://www.amazon.de/)
14:13:09	0/0	---MCZ	301	error ('Moved%20Permanently')	text/html	date:Sun,%2018%20Dec%202016%2013:13:09%20GMT	https://www.amazon.de/b/ref=br_pdt_mgLwt/253-8936271-2197550?_encoding=UTF8&node=5686557031&pf_rd_m=A3JWKAKR8XB7XF&pf_rd_s=&pf_rd_r=E6K5N87AWKR7X9082BH6&pf_rd_t=36701&pf_rd_p=8fd50deb-8430-4ac0-89fe-b5ea36899997&pf_rd_i=desktop	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/b/ref=br_pdt_mgLwt/253-8936271-2197550e18c	(from https://www.amazon.de/)
14:13:09	38840/38840	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Dec%202016%2013:13:09%20GMT	https://www.amazon.de/gp/video/primesignup/ref=dvm_de_xs_gw_e_ft_all_011/253-8936271-2197550?pf_rd_m=A3JWKAKR8XB7XF&pf_rd_s=&pf_rd_r=E6K5N87AWKR7X9082BH6&pf_rd_t=36701&pf_rd_p=8fd50deb-8430-4ac0-89fe-b5ea36899997&pf_rd_i=desktop	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/gp/video/primesignup/ref=dvm_de_xs_gw_e_ft_all_011/253-8936271-2197550a979.html	(from https://www.amazon.de/)
14:13:09	1/1	---MCZ	302	error ('MovedTemporarily')	text/html	date:Sun,%2018%20Dec%202016%2013:13:09%20GMT	https://www.amazon.de/gp/prime/ref=br_pdt_smr/253-8936271-2197550?pf_rd_m=A3JWKAKR8XB7XF&pf_rd_s=&pf_rd_r=E6K5N87AWKR7X9082BH6&pf_rd_t=36701&pf_rd_p=8fd50deb-8430-4ac0-89fe-b5ea36899997&pf_rd_i=desktop	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/gp/prime/ref=br_pdt_smr/253-8936271-2197550a979	(from https://www.amazon.de/)
